"LogID","AdvertID","LogIP","LogTimestamp","LogBrowser","LogType","LogOriginPage"
"11811565","782","45.72.69.220","2022-03-24 05:52:19","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393","C","/pages.php"
"11811586","782","54.39.103.203","2022-03-24 11:13:39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811594","782","54.39.50.78","2022-03-24 11:27:54","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811606","782","54.39.50.78","2022-03-24 11:47:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811612","782","184.105.108.2","2022-03-24 11:58:27","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36","C","/opinion.php"
"11811613","782","216.218.147.201","2022-03-24 11:58:29","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","C","/opinion.php"
"11811631","782","113.234.160.163","2022-03-24 12:11:49","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36","C","/index.php"
"11811633","782","198.12.72.170","2022-03-24 12:20:38","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11811651","782","2001:d08:d9:a7b:e940","2022-03-24 14:14:00","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.999 Safari/533.4","C","/article-desc.php"
"11811675","782","45.72.69.225","2022-03-24 19:59:08","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0","C","/index.php"
"11811695","782","45.72.69.225","2022-03-24 20:26:22","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0","C","/news.php"
"11811710","782","45.72.69.225","2022-03-24 20:56:11","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0","C","/pages.php"
"11811742","782","54.39.16.124","2022-03-24 22:14:55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
